TALKEETNA           AK - 702510                                                 														
 62 deg    18' N  150 deg    25' W - Elev  151m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.38	2.71	2.75	2.62	2.35	2.44	2.49	2.33	1.91	1.89	2.1	2.41	2.58
	1973	2.71	3.03	3.19	2.66	3.03	3.18	3.15	2.95	2.62	1.72	2.04	2.11	3.16
	1974	2.53	2.99	2.99	3.14	2.7	2.66	3.17	2.67	1.76	2.04	2.46	2.04	1.72
	1975	2.26	2.28	3.01	2.07	2.38	2.65	2.36	2.12	2.19	1.84	2.46	1.79	2.16
	1976	2.1	2	2.62	2.35	2.33	1.97	2.15	1.99	1.55	1.53	1.54	2.53	2.82
	1977	2.08	2.69	2.61	2.34	2.53	2.18	2.18	2.08	1.28	1.4	2	1.38	2.41
	1978	2.37	2.75	3.23	2.58	2.39	2.38	2.25	2.07	2.03	1.49	2.03	2.62	2.74
	1979	2.74	2.99	4.36	2.81	2.46	2.57	2.63	2.63	2.16	2.28	2.23	2.92	2.79
	1980	2.8	3.7	3.44	3.48	2.7	2.76	2.46	2.36	2.32	2.2	2.66	2.65	2.86
	1981	2.61	2.81	2.62	3.07	2.94	2.63	2.91	2.98	2.27	1.88	1.88	2.89	2.42
	1982	2.56	3.19	3.37	2.85	2.89	2.21	2.11	2.56	1.69	1.9	2.08	2.59	3.32
	1983	2.36	3.18	2.67	2.19	1.44	2.04	2.56	2.22	2	2.13	2.4	2.93	2.57
	1984	2.35	2.31	2.42	2.38	2.35	2.73	2.44	2.55	2.17	1.85	2.23	2.28	2.48
	1985	2.51	2.71	2.58	2.75	2.88	2.7	2.58	2.37	2.17	2.17	2.06	2.38	2.71
	1986	2.86	3.41	2.87	3.2	3.27	2.89	2.76	2.78	2.23	1.82	2.42	3.46	3.04
	1987	2.76	3.58	3.84	3.23	2.8	2.67	2.84	2.9	2.25	2.32	2.65	2.42	2.14
	1988	2.92	3.11	3.61	2.79	2.84	2.99	3.14	3.16	2.35	2.18	2.74	2.73	3.15
	1989	2.5	2.3	1.88	3.2	2.15	2.68	2.88	2.72	2.06	2.07	2.28	2.95	2.73
	1990	2.51	2.64	2.43	2.98	2.48	2.28	3.1	2.4	2.02	2.34	2.09	2.71	2.58
	1991	2.14	2.41	3.01	2.01	2.49	2.12	2.22	1.86	1.94	1.54	1.65	2.42	2.16
	1992	2.05	2.21	2.19	2.16	2.22	2.49	2.22	1.88	1.56	2.1	1.82	1.93	1.8
	1993	2.08	1.67	2.16	1.93	1.63	1.84	2.49	2.72	2.11	2.11	1.99	1.79	2.48
	1994	2.49	3.04	3.54	2.82	2.19	2.54	2.79	2.16	1.96	1.96	2.06	2.31	2.65
	1995	2.31	2.25	2.63	2.73	2.14	2.45	2.48	2.13	2.03	1.57	1.56	2.89	2.86
	1996	2.23	2.4	1.86	2.77	2.24	2.42	2.52	1.87	1.8	1.86	2.27	2.06	2.68
	1997	2.41	3.23	2.79	3.44	2.81	2.3	2.42	2.4	1.45	1.33	1.79	1.86	1.39
