TANANA/CALHOUN MEM  AK - 701780                                                 														
 65 deg    10' N  152 deg    06' W - Elev   67m   LST=GMT+99 hours   *NT=-10    														
 01/73-12/81 01/87-09/02                                                        								Adjusted to Alaska Timezone (GMT-9)						
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	3.19	3.04	3.17	3.45	3.51	3.65	3.27	3.04	2.93	3.2	3.12	2.92	2.93
	1973	3.55	2.47	3.85	4.63	3.57	4.19	3.86	3.52	3.19	3.62	3.21	2.89	3.77
	1974	3.23	1.98	2.39	3.7	3.94	3.95	3.75	3.27	3.34	4.1	3.62	2.32	2.26
	1975	3.44	3.08	3.84	3.63	4.34	4.34	3.61	3.34	3.28	3.68	3.16	2.66	2.62
	1976	2.99	3.41	2.27	3.05	3.1	3.35	3.1	2.74	2.32	3.35	2.96	2.67	3.49
	1977	3.19	3.48	3.34	3.27	3.51	3.82	3.47	3.63	2.78	3.24	3.01	2.54	2.25
	1978	3.55	3.48	3.48	3.44	3.99	4.3	3.4	2.84	3.08	2.93	3.81	3.89	4.03
	1979	3.35	3.54	2.72	4.22	3.86	3.87	3.72	3.1	2.73	3.68	3.3	3.34	2.05
	1980	3.33	2.84	3.81	3.75	4.53	4.47	3.23	3.04	2.83	3.4	2.97	2.92	2.16
	1981	3.15	2.89	2.83	3.76	3.41	3.04	3.99	3.21	3.09	3.14	2.53	3.48	2.4
	1987	3.55	3.65	3.82	3.59	3.68	4.13	4.21	3.56	3.11	3.46	3.53	3.27	2.71
	1988	3.66	3.86	4.4	3.95	4.19	3.85	3.39	3.51	3.07	2.93	3.78	3.59	3.34
	1989	3.39	2.23	3.4	3.71	3.23	3.78	3.29	3.23	3.2	3.64	3.64	3.46	3.96
	1990	3.2	3.29	2.19	3.73	3.53	3.19	3.46	3.16	3.24	3.51	3.53	2.36	3.07
	1991	3.2	2.73	3.48	3.15	2.89	3.23	3.54	3.1	3.42	3.32	3.14	3.18	3.2
	1992	3.08	2.84	2.46	2.83	3.94	4.1	3.03	2.77	2.89	2.96	3.25	3.02	2.84
	1993	3.3	2.68	3.52	2.78	3.55	4.37	3.15	3.11	2.76	3.28	3.22	3.17	4.09
	1994	3.36	4.27	2.97	3.73	3.69	3.85	3.17	2.69	3.23	3.2	3.04	3.31	2.96
	1995	3.16	2.51	3.6	3.05	3.23	3.67	3.42	3.35	2.98	3.27	3.11	2.43	3.57
	1996	3.1	2.73	3.19	3.51	3.29	3.17	3.35	3.1	3.28	2.94	2.87	3.77	2.05
