TATALINA (AWOS)     AK - 702315                                                 														
 62 deg    54' N  155 deg    59' W - Elev  294m   LST=GMT+99 hours   *NT=-10    														
 01/73-08/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	1.85	1.67	1.87	2.08	2.19	2.11	1.93	1.84	1.76	1.93	1.73	1.5	1.47
	1973	1.65	1.19	2.15	1.66	1.79	1.94	1.63	1.93	1.88	1.73	1.61	1.17	1.25
	1974	2.02	1.46	2.12	2.43	2.24	2.22	2.46	2.18	1.74	1.9	2.42	1.52	1.47
	1975	1.84	1.92	2.32	1.59	2.36	2.23	2.19	1.93	1.32	2.18	1.71	1.23	1.21
	1976	1.84	1.32	0.96	2.13	1.93	2.32	1.97	1.79	1.35	2.22	1.72	1.51	2.56
	1977	1.68	2.69	2.08	1.86	1.81	1.97	1.61	1.59	1.36	2.01	1.88	0.98	0.77
	1978	1.77	1.2	1.66	1.47	1.73	1.47	1.7	1.53	1.44	1.95	2.2	2.35	2.51
	1979	1.95	1.78	1.82	2.22	2.64	2.33	2.69	1.46	1.7	1.98	1.77	1.65	1.44
	1980	2.13	1.64	3.08	2.61	2.67	2.55	2.23	1.94	1.73	2.16	2.04	1.48	1.48
	1981	1.83	1.9	1.77	2.58	2.73	1.86	1.48	2.34	1.87	1.64	1.35	1.63	0.86
	1982	1.7	1.73	1.85	2.02	2.28	1.84	1.83	1.89	0.95	1.56	1.43	1.3	1.73
	1983	1.47	1.73	1.86	1.79	1.47	1.41	1.37	1.23	1.57	1.62	1.28	1.31	1.03
	1984	1.18	0.77	0.87	1.15	1.03	1.25	1.16	1.75	1.59	1.31	1.16	0.88	0.84
	1985	1.41	2.22	1.53	1.71	1.19	1.77	1.12	0.81	0.96	1.65	1.03	0.97	1.4
	1986	1.54	0.35	1.51	0.94	0.97	1.32	1.61	1.81	1.66	2.66	0.87	1.16	3.58
	1987	1.39	1.92	1.09	1.26	1.21	1.65	1.27	1.55	1.34	1.22	0.5	0.05	0.89
	1988	1.01	2.06	1.26	1.3	0.64	0.62	0.21	1.63	1.22	1.05	1.11	0.72	0.32
	1989	0.92	0.27	0.85	1.92	0.68	0.88	1.09	0.61	0.57	1.6	1.68	1.4	0.69
	1990	0.76	0.6	0.26	1.04	0.6	0.76	0.51	0.7	0.6	1.38	1.11	1.27	0.75
	1991	2.72	1.63	2.84	3.61	2.39	2.83	2.88	2.76	2.75	2.77	2.67	2.53	2.08
	1992	1.94	1.64	1.48	1.99	2.65	3.66	2.15	1.65	1.74	2.2	1.74	1.52	1.42
	1993	2.21	2.14	2.19	2.49	2.21	2.31	1.84	1.68	2.22	2.82	2.5	2.05	2.19
	1994	2.11	1.84	2.51	1.93	2.33	2.38	2.29	2.14	2.45	1.83	1.56	2.34	1.37
	1995	1.93	1.75	2.08	2.26	2.3	2.37	2.02	1.82	1.63	1.88	1.46	1.23	2.49
	1996	1.95	1.81	2	2.58	2.51	2.11	2.21	1.97	2.34	1.85	1.77	1.47	0.85
	1997	1.92	1.48	1.81	2.24	2.44	2.34	2.17	1.62	2.02	1.83	1.96	1.72	1.15
	1998	1.8	1.53	1.64	1.97	2.28	2.49	1.81	1.82	2.5	1.65	1.73	1.11	0.75
	1999	1.88	1.78	1.18	2.22	2.61	2.34	2.04	2.27	1.63	2.31	1.49	1.44	1.4
	2000	2.23	1.94	2.04	2.5	2.36	2.42	2.21	1.98	2.59	1.88	1.13	1.73	2.97
	2001	1.86	2.08	1.97	1.72	3.17	2.68	2.27	1.95	2.27	1.57	2.1	1.26	1.17
	2002	2.19	1.96	2.15	2.22	2.91	2.29	1.96	2.16	1.58	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	17	18	20	19	21	18	15	15	15	17	15	13	13
	1973	15	11	25	13	13	14	9	11	44	10	14	8	9
	1974	16	12	17	18	14	15	20	14	12	20	30	11	12
	1975	20	22	24	12	28	20	39	68	5	15	14	9	7
	1976	11	10	4	16	10	16	10	7	5	14	10	10	23
	1977	15	31	20	19	17	21	12	11	7	18	20	4	4
	1978	14	5	11	9	10	6	9	8	10	20	22	28	33
	1979	20	18	22	21	36	19	34	10	11	16	12	20	20
	1980	21	22	42	26	27	27	20	14	10	18	18	10	14
	1981	16	17	12	28	31	11	8	22	13	11	14	17	5
	1982	15	11	22	19	23	15	14	14	6	18	12	9	16
	1983	13	25	17	17	13	8	10	6	13	21	8	13	5
	1984	6	5	4	5	7	8	6	10	11	6	5	3	9
	1985	15	34	14	11	70	16	4	2	7	8	5	3	10
	1986	12	0	11	4	2	5	6	17	10	30	3	5	66
	1987	12	34	4	5	5	13	4	8	6	4	1	0	2
	1988	13	29	13	7	2	1	1	77	7	5	3	2	1
	1989	6	4	9	31	4	6	4	3	1	8	9	8	2
	1990	3	2	0	3	2	2	2	1	1	4	8	8	5
	1991	28	14	38	62	12	23	21	24	22	28	26	30	20
	1992	19	11	9	19	28	68	17	8	13	20	15	10	16
	1993	24	46	23	29	19	21	12	11	19	42	33	16	21
	1994	22	15	32	15	19	23	23	18	32	17	13	40	11
	1995	16	15	25	24	20	17	14	13	12	16	10	9	22
	1996	19	30	30	30	26	17	17	15	25	15	13	8	4
	1997	16	14	15	21	19	21	16	9	11	16	20	14	9
	1998	15	14	9	12	25	24	13	10	31	18	10	6	5
	1999	18	29	12	16	30	21	14	27	12	22	10	11	13
	2000	23	23	32	21	21	25	15	11	21	15	4	15	30
	2001	15	19	20	11	26	23	18	13	20	9	19	8	7
	2002	21	16	22	19	41	19	12	23	10	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	168006	14393	12818	14645	14052	15030	14598	14234	14319	13381	14108	13632	12796
	1973	5709	416	367	559	527	524	393	396	449	528	557	507	486
	1974	5734	466	353	432	540	577	548	497	408	384	474	545	510
	1975	5931	502	464	690	642	673	351	286	306	381	449	578	609
	1976	7011	458	531	652	627	614	649	678	517	550	583	604	548
	1977	7477	551	485	625	551	579	554	609	708	690	716	698	711
	1978	8575	721	666	728	704	726	690	736	732	714	729	714	715
	1979	8570	738	671	720	713	734	694	724	726	689	725	706	730
	1980	8813	773	696	744	720	744	720	744	744	720	744	720	744
	1981	8759	744	671	744	720	744	720	744	744	720	744	720	744
	1982	8760	744	672	744	720	744	720	744	744	720	744	720	744
	1983	8761	744	672	744	720	744	720	744	744	721	744	720	744
	1984	8034	744	696	745	720	744	720	744	744	720	744	618	95
	1985	1744	182	75	171	117	178	151	67	201	155	175	83	189
	1986	1248	44	112	76	73	194	94	112	141	121	163	56	62
	1987	1079	231	73	81	67	85	97	102	168	61	40	22	52
	1988	900	36	69	107	68	59	99	89	67	81	109	89	27
	1989	1273	235	102	41	58	196	87	105	92	85	135	86	51
	1990	725	139	46	46	65	45	38	25	103	42	60	48	68
	1991	4030	41	187	381	187	336	298	442	444	421	510	334	449
	1992	5848	451	328	493	353	406	382	468	615	566	646	509	631
	1993	7094	638	575	564	610	604	596	681	677	602	514	530	503
	1994	6838	530	455	494	636	668	655	562	598	644	649	633	314
	1995	6444	509	606	568	512	577	586	530	646	576	536	470	328
	1996	6861	568	453	575	619	683	639	566	538	417	601	566	636
	1997	6263	565	439	585	565	631	625	540	231	488	601	512	481
	1998	6167	562	547	512	475	598	664	658	602	254	223	665	407
	1999	6994	660	521	615	556	396	575	548	578	669	625	630	621
	2000	3983	609	654	529	584	488	530	59	114	144	66	32	174
	2001	4197	137	196	92	21	102	455	609	625	518	502	517	423
	2002	4184	655	436	588	582	637	548	425	313	0	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	6622	573	499	582	555	601	589	562	561	518	561	507	514
	1	7235	635	553	613	595	635	626	606	626	574	619	588	565
	2	7219	637	550	602	580	641	622	603	617	581	620	597	569
	3	7475	647	573	638	604	673	641	626	640	603	645	607	578
	4	7518	651	560	642	624	678	658	642	647	600	642	604	570
	5	7623	653	580	651	634	684	659	649	656	612	648	613	584
	6	7609	673	591	656	615	681	656	634	654	615	638	607	589
	7	7601	657	585	655	634	665	657	642	650	605	650	614	587
	8	7647	664	591	659	633	678	653	647	655	608	650	620	589
	9	7471	630	585	661	616	651	641	643	630	599	633	607	575
	10	7358	649	582	648	605	636	631	614	628	575	618	606	566
	11	7411	644	577	634	607	649	643	627	632	598	624	602	574
	12	7325	635	578	633	594	655	637	630	631	586	604	587	555
	13	7313	641	566	630	608	653	645	623	626	586	599	588	548
	14	7255	621	565	631	593	642	635	619	622	586	599	581	561
	15	7092	619	557	620	577	638	624	608	598	566	585	569	531
	16	6934	594	544	599	585	633	604	590	574	543	571	572	525
	17	6878	598	529	588	586	616	621	581	547	522	569	584	537
	18	6474	533	484	563	574	603	578	558	529	502	530	528	492
	19	6276	505	461	556	561	574	540	513	522	493	522	557	472
	20	5965	477	432	552	537	533	501	503	526	502	493	478	431
	21	6001	481	432	553	528	558	515	511	527	485	509	482	420
	22	5974	495	433	549	511	545	519	509	515	463	496	485	454
	23	5730	481	411	530	496	508	503	494	506	459	483	449	410

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	1.59	1.72	1.74	1.91	1.75	1.56	1.46	1.36	1.36	1.72	1.56	1.55	1.45
	1	1.54	1.69	1.72	1.79	1.68	1.56	1.35	1.37	1.26	1.59	1.54	1.46	1.47
	2	1.49	1.63	1.71	1.8	1.62	1.45	1.27	1.29	1.26	1.6	1.45	1.44	1.42
	3	1.48	1.68	1.72	1.68	1.56	1.4	1.25	1.29	1.31	1.61	1.47	1.42	1.45
	4	1.46	1.67	1.71	1.72	1.53	1.39	1.19	1.24	1.27	1.59	1.51	1.4	1.37
	5	1.46	1.61	1.69	1.71	1.52	1.37	1.18	1.23	1.29	1.57	1.49	1.4	1.44
	6	1.43	1.62	1.67	1.64	1.43	1.28	1.17	1.25	1.26	1.47	1.54	1.42	1.46
	7	1.45	1.65	1.62	1.66	1.47	1.39	1.23	1.23	1.26	1.47	1.54	1.45	1.4
	8	1.54	1.6	1.58	1.67	1.65	1.66	1.55	1.37	1.32	1.57	1.58	1.44	1.47
	9	1.71	1.68	1.59	1.77	1.97	2.04	1.88	1.78	1.62	1.71	1.52	1.42	1.44
	10	1.84	1.69	1.67	1.93	2.27	2.3	2.04	1.94	1.83	1.97	1.58	1.42	1.43
	11	2.04	1.65	1.77	2.23	2.67	2.58	2.31	2.18	2.09	2.23	1.8	1.44	1.41
	12	2.21	1.63	2.05	2.51	2.8	2.73	2.57	2.36	2.4	2.37	1.94	1.55	1.53
	13	2.3	1.67	2.13	2.62	2.97	2.86	2.64	2.45	2.45	2.52	2.05	1.61	1.48
	14	2.36	1.71	2.27	2.73	2.99	2.89	2.7	2.5	2.41	2.58	2.19	1.61	1.62
	15	2.38	1.7	2.25	2.77	2.95	3.01	2.72	2.61	2.47	2.58	2.23	1.52	1.61
	16	2.39	1.65	2.25	2.74	3.08	3.02	2.68	2.65	2.51	2.61	2.23	1.56	1.53
	17	2.3	1.72	2	2.64	2.91	2.93	2.73	2.46	2.48	2.44	2	1.53	1.61
	18	2.23	1.78	2.01	2.36	2.84	2.85	2.7	2.5	2.28	2.23	1.85	1.55	1.49
	19	2.11	1.73	2.05	2.14	2.6	2.77	2.55	2.33	2.12	1.94	1.86	1.61	1.47
	20	1.97	1.66	2.04	2.1	2.35	2.44	2.23	2.1	1.82	1.84	1.84	1.55	1.51
	21	1.82	1.64	1.95	2.06	2.14	2.05	1.95	1.83	1.53	1.8	1.7	1.59	1.44
	22	1.72	1.64	1.96	2.02	1.96	1.81	1.71	1.58	1.48	1.72	1.71	1.61	1.46
	23	1.65	1.65	1.93	1.96	1.89	1.64	1.6	1.45	1.37	1.67	1.61	1.57	1.43

POWER BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	13	17	15	15	17	12	10	8	9	17	12	12	14
