TIN CITY AFS (AWOS) AK - 701170                                                 														
 65 deg    34' N  167 deg    55' W - Elev   83m   LST=GMT+99 hours   *NT=-11    														
 01/73-12/81 01/87-08/02                                                        							Adjusted to Alaska Time Zone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	8.23	10.1	10.38	10.22	9.31	7.79	6.65	6.15	6.6	6.94	7.03	8.42	9.91
	1973	7.78	8.98	8.51	10.93	7.86	8.41	4.27	5.91	6.23	5.87	7.49	7.52	10.03
	1974	8.16	10.24	9.64	9.43	9.5	7.16	5.58	7.08	5.42	5.06	7.4	7.71	11.74
	1975	7.3	9.4	8.94	7.1	7.39	8.17	5.88	6.63	5.64	5.87	6.55	6.18	9.22
	1976	7.97	11.33	9.72	8.59	8.3	7.18	5.8	5.66	6.36	5.62	7.41	7.62	13.33
	1977	7.81	10.96	13.31	10.62	7.26	6.38	5.85	5.33	6.7	8.58	6.9	7.83	7.1
	1978	8.8	7.46	13	10.31	9.9	9.46	7.16	6.09	6.59	6.95	9.24	10.27	9.6
	1979	7.68	7.16	4.47	10.67	9.64	8.73	5.76	6.69	5.81	7.52	6.4	10.57	8.64
	1980	7.75	8.36	10.02	9.77	11.82	8.28	4.93	4.19	6.84	5.96	6	8.62	8.36
	1981	7.69	10.08	8.79	12.31	5.97	8.08	5.62	5.35	5.47	5.99	6.74	8.91	8.9
	1987	8.13	13.27	10.38	12.34	7.16	5.83	7.91	4.53	4.73	6.54	4.93	7.09	8.42
	1988	7.1	9.58	11.95	11.49	7	8.23	4.87	4.32	8.34	7.95	4.65	9.22	8.01
	1989	7.42	7.34	7.01	5.94	8.82	7.87	6.7	6.19	5.62	10.36	6.98	9.99	6.92
	1990	6.77	9.21	10.14	8.37	8.14	4.75	4.01	5.18	4.13	5.85	5.44	6.54	7.8
	1991	9.29	10.25	12.05	12.26	12.05	8.64	7.65	8.08	6.95	9.12	7.67	6.71	11.05
	1992	8.85	12.71	11.08	11.04	7.02	7.14	7.85	7.03	7.22	7.38	7.06	10	10.56
	1993	9.09	9.41	10.77	11.01	13.19	7.73	8.49	8.09	6.49	7.46	6.11	9.6	13.68
	1994	9.73	11.41	9.08	14.33	12.12	11.09	7.04	5.68	9.31	8.35	8.65	9.97	12.23
	1995	8.55	11.72	11.7	9.12	12.65	9.22	6.39	7.43	5.65	7.28	6.82	5.98	12.41
	1996	8.18	8.04	10	7.82	11.95	7.53	7.09	6.21	6.77	7.9	7.49	9.23	8.31
	1997	6.93	12.69	12.2	8.81	7.57	4.34	7.02	3.88	4.83	5.52	3.99	6.09	6.55
	1998	8.58	12.15	16.33	11.3	8.59	7.95	8.03	6.71	7.99	8.25	8.26	7.57	7.99
	1999	8.56	9.35	11.13	12.62	9.49	6.26	7.52	7.34	8.35	7.04	5.95	7.83	8.97
	2000	8.52	12.42	12.32	12.11	7.92	6.76	7.56	6.79	7.01	5.83	7.25	10.16	10.98
	2001	9.63	13.08	11.99	9.01	9.77	7.7	8.43	5.71	7.26	5.46	5.56	4.68	10.31
	2002	7.67	11.06	11.29	4.97	8.7	7.07	6.68	6.53	6.96	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	755	1252	1361	1275	914	550	387	292	349	428	493	798	1165
	1973	594	887	900	1031	603	540	148	238	247	305	598	525	1017
	1974	684	935	982	925	833	516	208	435	211	180	506	542	1610
	1975	596	1343	1208	491	575	575	249	328	252	276	426	382	935
	1976	677	1620	950	642	713	343	258	242	315	208	512	539	2112
	1977	651	1192	2131	1292	622	366	216	210	293	721	422	603	506
	1978	805	461	2024	1228	890	857	396	244	305	389	826	1216	939
	1979	632	659	299	1041	845	606	282	297	235	654	341	1468	876
	1980	637	965	1329	886	1246	599	154	106	301	296	327	707	754
	1981	639	1077	709	1869	263	598	255	215	243	255	505	751	908
	1987	843	2161	1249	2080	570	184	510	111	148	362	213	408	703
	1988	489	731	1283	1529	477	463	183	85	734	546	202	780	521
	1989	494	530	627	711	697	499	257	275	183	1169	422	795	366
	1990	498	804	1341	795	593	239	143	189	143	284	175	695	487
	1991	898	1132	1847	1829	1503	734	436	452	369	659	544	423	1383
	1992	958	2003	1552	2137	517	368	579	435	437	432	524	1284	1336
	1993	1015	940	1450	1666	1879	582	968	519	313	515	322	1310	2444
	1994	1133	1517	1032	3001	1459	1174	370	229	917	582	905	1176	2031
	1995	848	1888	1627	925	1785	736	322	429	209	394	468	295	1895
	1996	759	764	1187	783	1543	418	486	376	398	596	659	1164	852
	1997	633	1707	1720	740	618	226	592	166	334	346	218	465	525
	1998	817	2081	3304	1756	763	693	546	377	554	621	598	507	653
	1999	831	1290	1332	2213	1002	317	476	391	569	360	259	600	819
	2000	758	1988	1931	1823	610	395	398	274	284	203	418	1012	1188
	2001	1011	1984	1534	927	745	533	536	212	398	247	216	157	1100
	2002	643	1563	1930	243	826	469	292	293	310	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	138303	11371	10476	10760	11292	12885	12648	12336	11993	11354	11211	10658	11319
	1973	6911	483	449	665	673	604	347	515	682	675	625	568	625
	1974	6328	641	643	712	431	595	493	382	415	446	557	540	473
	1975	6254	537	534	607	688	682	544	403	483	384	450	521	421
	1976	5979	434	496	425	510	710	577	568	509	449	415	399	487
	1977	7401	424	460	547	544	555	687	624	716	693	724	703	724
	1978	8514	731	657	729	700	732	699	732	720	706	718	703	687
	1979	8492	736	660	717	706	730	708	729	707	700	734	698	667
