UMIAT               AK - 701620                                                 														
 69 deg    22' N  152 deg    08' W - Elev   85m   LST=GMT+99 hours   *NT=-10    														
 10/75-03/81 01/87-08/02                                                        								Adjusted to Alaska Time Zone (GMT-9)						
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.99	2.54	2.83	2.81	2.93	3.69	3.83	3.62	3.38	3.22	2.44	2.21	2.33
	1975	1.88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.32	1.77	1.77
	1976	3.22	1.94	3.81	3.64	2.34	4.6	4.69	3.32	3.89	3.24	2.7	5.1	-1
	1977	3.2	3.34	3.8	2.92	2.61	3.37	2.74	3.92	2.83	3.43	4.25	2.12	2.27
	1978	2.6	2.13	1.54	1.43	1.63	3.05	3.74	-1	3.27	3.33	4.27	1.84	2.61
	1979	2.97	1.67	2.61	2.34	2.79	7.65	4.1	0.75	-1	1.11	2.5	2.87	3.74
	1980	3.58	5.15	3.17	2.69	3.6	2.75	5.88	5.1	3.55	2.37	1.67	-1	3.8
	1981	2.53	2.4	3.6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1987	3.23	2.75	2.44	2.62	2.79	3.83	4.21	4.2	3.5	3.91	2.13	3.95	2.26
	1988	2.98	1.69	2.71	2.91	3.27	4.73	4.12	3.58	3.51	2.88	2.45	1.66	1.89
	1989	3.11	2.53	3.46	3.19	3.16	3.03	3.89	3.74	2.84	2.69	3.27	2.43	2.97
	1990	3.27	2.32	3.17	2.97	3.69	3.47	4.31	3.89	3.64	3.94	2.41	2.54	2.81
	1991	2.81	3.86	3.37	2.8	2.38	2.79	3.94	3.44	3.57	2.94	1.82	1.83	1.16
	1992	2.83	2.07	2.1	1.7	3.38	3.91	3.77	3.11	2.9	3.44	2.64	2.35	2.76
	1993	3	3.43	2.44	2.49	2.41	3.97	3.03	3.6	3.57	3.8	3.09	2.26	1.97
	1994	3.27	1.95	3.58	3.2	3.23	4.16	3.6	3.57	3.39	4.44	2.14	3.24	2.77
	1995	3.32	2.78	3.32	3.42	2.73	4.09	4.12	3.76	3.27	3.17	3.41	2.41	3.25
	1996	3.5	2.62	3.88	2.98	3.1	3.41	4.41	3.95	4.2	3.64	1.95	1.83	3.14
	1997	2.93	2.67	1.72	3.35	2.81	3.49	4	4.06	3.5	3.13	2.08	0.98	2.41
	1998	2.54	2.74	1.82	2.41	2.61	3.74	2.92	3.04	3.09	2.54	1.98	1.68	1.58
	1999	2.67	1.75	1.58	2.83	3.12	3.84	3.52	3.18	2.56	1.64	2.46	1.41	2.19
	2000	2.83	3.2	1.82	2.81	2.85	2.68	3.52	3.71	4.07	3.07	1.74	2.36	2.38
	2001	2.69	2.4	2.55	2.93	2.86	3.64	4	-1	-1	1.5	-1	4	2
	2002	2.3	-1	-1	-1	2	-1	-1	-1	2.6	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	52	45	61	44	52	68	68	57	52	55	45	39	39
	1975	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	75	31
	1976	70	41	101	98	30	103	92	45	52	39	46	87	-1
	1977	45	32	44	48	35	47	24	55	18	48	75	7	18
	1978	39	34	20	8	11	77	49	-1	39	38	132	20	31
	1979	50	14	19	18	33	158	43	1	-1	15	55	26	209
	1980	65	141	50	21	32	13	171	82	42	20	7	-1	83
	1981	24	27	35	6	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1987	67	46	57	36	41	79	82	99	55	88	46	128	47
	1988	47	12	34	41	71	111	69	56	54	39	42	13	16
	1989	61	26	190	78	51	43	88	56	31	44	68	27	65
	1990	61	18	46	49	77	69	93	78	71	93	47	36	57
	1991	50	128	73	38	27	31	74	58	68	41	26	17	17
	1992	43	17	19	14	93	76	61	37	40	55	41	32	36
	1993	57	66	34	23	43	138	63	53	55	89	66	39	22
	1994	62	24	96	60	57	75	55	65	58	110	25	78	38
	1995	63	87	84	83	33	70	72	50	36	50	62	34	83
	1996	67	35	108	47	61	49	92	72	89	62	24	16	9
	1997	42	37	12	45	63	51	73	58	46	33	25	5	33
	1998	31	35	20	24	39	64	28	31	37	25	29	22	13
	1999	38	24	9	49	48	63	47	33	25	16	66	25	28
	2000	42	68	16	25	42	33	52	57	68	40	16	37	48
	2001	41	42	46	36	40	55	38	-1	-1	3	-1	57	5
	2002	8	-1	-1	-1	5	-1	-1	-1	11	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	64241	5343	4976	5570	5701	5701	5353	5433	5248	5065	5391	5078	5382
	1975	787	0	0	0	0	0	0	0	0	0	157	287	343
	1976	1242	336	229	190	116	138	77	31	48	31	45	1	0
	1977	582	7	2	148	31	136	36	68	10	59	37	4	44
	1978	589	85	60	13	57	2	54	0	74	22	54	58	110
	1979	342	14	88	32	128	21	1	2	0	10	14	3	29
	1980	57	10	16	12	1	2	4	2	2	3	3	0	2
	1981	6	4	1	1	0	0	0	0	0	0	0	0	0
	1987	4482	322	311	372	358	391	387	390	391	371	428	367	394
	1988	4738	412	362	410	407	414	405	409	409	412	413	396	289
	1989	4246	285	262	286	276	416	395	418	412	368	395	338	395
	1990	4749	399	365	384	413	410	407	394	374	401	424	380	398
	1991	5030	427	388	419	416	428	412	436	410	408	426	416	444
	1992	4919	433	415	452	428	444	410	362	355	321	366	339	594
	1993	4301	442	361	391	362	331	263	369	357	349	372	340	364
	1994	4131	360	354	377	322	354	311	363	343	347	376	338	286
	1995	4115	318	334	362	340	347	348	364	262	329	360	359	392
	1996	3103	338	376	403	345	360	328	317	336	180	47	46	27
	1997	3387	22	54	65	312	346	352	390	373	412	412	382	267
	1998	4403	185	232	398	405	416	406	400	394	397	412	395	363
	1999	3827	286	153	305	337	410	411	422	415	307	292	219	270
	2000	3770	301	234	199	325	318	345	296	282	336	358	407	369
	2001	1433	357	379	351	321	17	1	0	0	2	0	3	2
	2002	2	0	0	0	1	0	0	0	1	0	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	57	9	10	6	4	0	2	0	0	0	2	0	24
	1	52	9	4	2	7	0	0	0	0	0	0	0	30
	2	52	10	3	1	5	1	0	0	1	1	0	0	30
	3	55	7	4	0	7	0	0	0	3	1	1	0	32
	4	99	6	4	0	8	3	1	1	13	19	14	0	30
	5	695	11	6	2	75	85	55	114	120	112	87	0	28
	6	2518	76	72	97	294	317	303	297	299	304	284	82	93
	7	3798	283	272	296	347	334	339	367	346	323	338	282	271
	8	4032	317	294	359	369	368	347	340	347	343	337	292	319
	9	4241	354	326	395	364	371	343	353	355	335	368	339	338
	10	4256	348	334	377	389	389	354	366	338	328	351	333	349
	11	4250	356	360	401	356	384	344	340	334	331	352	348	344
	12	4128	338	317	344	356	366	359	380	348	317	356	333	314
	13	4080	322	314	354	352	388	348	342	320	317	370	327	326
	14	4031	330	304	338	344	358	352	340	351	317	350	337	310
	15	4127	339	307	363	371	371	354	337	332	337	363	328	325
	16	4198	359	349	367	385	373	336	356	339	315	340	326	353
	17	4347	371	336	396	384	376	361	373	358	339	355	345	353
	18	4231	361	348	374	372	375	352	351	337	327	347	338	349
	19	4339	371	330	384	401	385	360	355	351	330	358	352	362
	20	3908	363	334	374	332	332	314	307	269	297	311	336	339
	21	1960	276	253	259	125	92	95	76	72	62	72	284	294
	22	581	92	60	62	40	29	31	28	14	7	25	79	114
	23	206	35	35	19	14	4	3	10	1	3	10	17	55

SPEED BY HOUR                                                                   														
