VALDEZ 2            AK - 702756                                                 														
 61 deg    08' N  146 deg    16' W - Elev   37m   LST=GMT+99 hours   *NT=-10    														
 05/75-08/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	1.62	1.61	1.63	1.72	1.36	1.96	2.02	1.55	1.33	1.29	1.75	1.55	1.64
	1975	2.13	-1	-1	-1	-1	1.71	2.19	1.51	1.8	1.17	3.7	2.45	3.56
	1976	2.04	2.05	2.22	1.65	1.5	1.87	2.82	2.18	2.57	-1	0	1.33	0.67
	1977	1.68	0	2.25	2	-1	-1	-1	-1	0	-1	-1	0	6.6
	1978	1.16	0	1.67	-1	-1	-1	-1	-1	0	5.1	1.5	-1	-1
	1979	2.79	1	-1	-1	-1	6.4	3.58	2.53	2.39	3	2.46	2.04	4.14
	1980	2.93	6.04	1.79	1.74	1.98	3.29	3.29	2.46	2.4	3.06	2.35	2.59	4.51
	1981	2.6	1.9	1.63	2.3	4.11	3.52	3.57	1.88	2.09	2.53	2.59	2.43	2.46
	1982	3.6	5.19	8.4	3.33	4.01	3.63	3.37	2.62	2.79	1.78	4.09	2.03	1.98
	1983	2.2	3.74	1.85	1.4	1.18	2.79	2.92	2.18	2	3	2.98	1.09	1.25
	1984	1.57	1.56	1.11	0.98	1.09	2.43	1.77	1.16	1.87	0.8	2.48	1.13	2.26
	1985	1.21	0.71	3.12	1.16	0.24	0.42	1.29	0.76	0.49	1.48	2.54	2.08	0.59
	1986	1.57	1.25	2.29	2.68	2.15	2.29	2	1.86	0.77	1.22	0.97	1.26	0.2
	1987	1.12	1.07	1.93	1.22	0.93	1.42	1.3	1.25	1.25	0.8	0.91	0.65	0.73
	1988	1.1	0.8	1.36	0.65	0.92	1.42	1.88	0.94	0.79	0.86	0.88	1.41	1.28
	1989	1.51	2.44	1.41	3.12	0.7	1.62	1.37	1.53	0.99	0.41	1.77	1.77	0.9
	1990	1.29	0.85	1.59	1.15	0.44	1.01	1.17	1.19	0.67	0.55	1.57	4.08	1.5
	1991	1	0.87	0.7	0.87	0.6	1.43	1.67	0.84	1.09	0.38	1.22	1.02	1.14
	1992	1.22	0.66	1.75	0.68	1.37	1.7	1.77	0.83	0.58	2.23	0.89	0.74	1.5
	1993	0.91	0.86	0.98	0.84	0.43	1.52	1.41	1.34	0.58	0.44	0.71	1.42	0.35
	1994	1.26	1	2.93	1.5	0.3	1.21	1.66	1.2	1.13	0.91	0.6	2.2	0.66
	1995	1.36	0.62	1.66	2.88	0.86	1.63	1.55	0.75	0.88	0.27	0.37	3.3	2.01
	1996	1.95	1.79	1.62	2.36	1.13	2.58	2.5	-1	-1	-1	-1	0.94	2.56
	1997	1.61	1.69	0.57	3.1	1.71	2.21	1.82	1.57	1.03	1.03	2.43	1.01	1.09
	1998	1.25	1.06	0.97	0.94	1	1.47	1.65	1.54	1.26	0.83	1.62	1.11	1.51
	1999	1.72	1.92	2.59	2.19	1.48	1.98	2.03	1.79	1.46	0.88	1.34	1.42	1.46
	2000	1.28	1.47	0.58	0.91	1.07	2.07	1.8	1.38	1.49	1.59	1.45	0.72	0.77
	2001	1.92	0.68	1.49	1.6	1.03	2.51	2.85	2.32	2.28	2.04	2.81	2.45	3.18
	2002	1.92	3.31	1.24	2.24	2.83	1.84	2.01	1.61	1.07	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	40	68	70	62	34	25	25	14	17	29	49	44	57
	1975	61	-1	-1	-1	-1	22	25	11	35	25	236	47	167
	1976	43	58	101	52	48	22	25	25	20	-1	0	6	2
	1977	23	0	7	5	-1	-1	-1	-1	0	-1	-1	0	180
	1978	10	0	6	-1	-1	-1	-1	-1	0	81	2	-1	-1
	1979	90	1	-1	-1	-1	182	65	38	50	114	42	17	320
	1980	103	595	24	15	13	37	42	24	33	123	49	79	294
	1981	51	18	23	49	165	56	62	18	32	50	77	33	30
	1982	239	480	1402	149	236	56	58	32	41	34	292	63	17
	1983	64	360	20	12	10	39	45	26	27	147	152	5	21
	1984	33	61	11	5	4	26	19	7	45	3	72	21	113
	1985	47	3	166	32	5	6	71	7	6	43	87	124	33
	1986	40	19	76	121	115	39	21	25	10	34	10	21	1
	1987	26	46	86	33	17	13	13	18	20	24	14	8	21
	1988	16	23	60	4	7	11	20	6	3	11	11	16	27
	1989	63	193	88	175	6	17	12	18	20	5	66	149	20
	1990	44	10	41	39	5	7	6	8	38	2	34	317	53
	1991	11	16	17	15	11	12	14	5	11	1	11	10	13
	1992	23	8	43	4	33	21	17	5	5	73	8	8	58
	1993	23	26	56	32	3	15	15	16	5	6	28	83	1
	1994	38	47	119	83	6	17	18	13	11	35	4	134	9
	1995	44	4	56	146	37	15	20	4	6	1	2	125	151
	1996	61	42	64	115	17	37	55	-1	-1	-1	-1	5	131
	1997	31	25	2	144	32	31	16	11	3	8	74	7	21
	1998	10	9	5	6	7	10	12	11	9	4	24	9	15
	1999	35	80	67	124	25	29	28	16	10	4	13	12	13
	2000	14	18	3	5	7	41	13	8	17	31	21	5	4
	2001	25	4	37	55	7	27	27	13	16	8	46	18	41
