VALDEZ              AK - 702750                                                 														
 61 deg    08' N  146 deg    21' W - Elev   10m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.66	3.26	3.45	2.81	2.2	2.5	2.61	2.2	1.88	1.91	2.7	3.35	3.13
	1973	2.57	2.28	-1	-1	-1	-1	3.06	2.66	2.31	1.73	2.12	4.39	2.23
	1974	2.87	3.83	2.49	3.05	1.93	3.51	3.65	3.26	2.37	2.21	2.19	1.83	2.11
	1975	2.89	3.77	3.15	2.46	1.63	2.32	2.68	2.38	2.51	1.69	3.16	3.82	3.84
	1976	2.4	2.68	3.63	2.2	2.15	2.47	3.05	2.36	1.95	2.02	1.8	1.94	2.12
	1977	2.23	1.06	1.77	2.71	2.27	1.75	1.98	2.04	1.24	1.48	1.56	3.89	4.63
	1978	1.9	1.73	1.95	1.41	0.95	1.69	2.24	2.02	1.86	1.51	1.83	2.85	2.79
	1979	2.69	2.59	7.69	2.57	1.7	2.53	2.61	1.86	1.54	1.87	2.04	1.89	3.95
	1980	2.61	5.27	2.56	2.16	1.83	2.43	2.16	1.7	1.59	2.03	1.93	2.67	4.89
	1981	2.27	1.98	1.84	1.95	2.93	2.15	2.42	1.52	1.61	2.04	2.37	3.18	3.29
	1982	3.04	5.35	6.01	2.73	2.92	2.57	2.39	2.47	1.75	1.6	3.75	2.62	2.5
	1983	2.5	4.46	2.97	2.31	1.44	2.22	2.46	1.89	1.49	2.57	2.81	2.47	2.99
	1984	2.72	3.23	3.11	2.15	2.18	3.16	2.95	2.14	2.53	1.9	3.27	2.97	3.11
	1985	2.57	1.76	4.78	2.1	2.31	2.39	2.64	2.45	1.9	1.91	3.65	3.5	1.7
	1986	2.95	2.8	3.28	4.15	3.3	2.97	3	2.99	2.09	2.46	2.71	3.63	2.1
	1987	2.55	2.88	3.86	3.6	2.81	2.43	2.2	2.2	1.88	1.68	2.11	2.44	2.55
	1988	2.19	2.46	2.89	1.71	1.69	1.71	2.2	1.76	1.48	1.71	2.34	4.02	2.34
	1989	2.85	4.66	2.57	4.5	1.72	2.65	2.56	2.49	1.88	1.64	3.14	3.67	2.63
	1990	2.84	3.06	4.12	2.56	1.72	1.92	2	2.25	1.71	1.71	3.28	6.3	3.56
	1991	2.87	3.21	2.95	2.45	2.28	2.9	3.27	2.63	2.66	1.92	3.17	3.68	3.36
	1992	2.91	2.78	4.29	2.44	2.77	2.81	2.89	2.02	1.62	3.67	2.9	2.82	4.09
	1993	2.31	2.88	2.88	2.69	1.87	2.57	2.49	2.11	1.56	1.79	2.22	2.55	2.15
	1994	2.92	3.41	6.72	3.06	1.9	2.42	2.41	2.03	2.02	1.79	2.41	4.97	2.59
	1995	3.01	2.83	3.72	5.04	2.11	2.57	2.78	2.12	1.95	1.42	1.86	5.79	4
	1996	3.45	4.79	3.35	4	2.73	2.92	3.32	2.48	1.85	1.96	3.99	2.45	4.02
	1997	2.53	3.11	0.69	3.17	1.83	2.8	2.68	1.98	1.71	1.87	3.74	2.61	2.99
	1998	2.54	4.45	2.66	2.24	2.03	2.24	2.37	2.16	1.82	1.41	3.01	2.64	3.43
	1999	3	4.15	4.61	3.02	2.42	2.78	2.82	2.37	2	1.75	2.73	3.57	3.86
	2000	2.27	4.01	1.33	1.71	1.95	2.73	2.46	1.87	2.02	2.03	2.86	2.05	2.07
	2001	2.91	1.51	2.58	2.94	1.83	2.78	3.51	2.96	2.56	2.47	3.62	3.76	4.63
	2002	2.87	3.81	2.3	4.24	3.65	2.6	2.56	2.27	1.92	1.48	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	58	102	130	81	30	28	31	24	19	23	52	100	82
	1973	54	98	-1	-1	-1	-1	33	27	41	15	18	204	29
	1974	57	124	46	97	14	85	61	41	24	26	28	28	20
	1975	72	172	91	33	25	18	20	18	43	10	105	98	149
	1976	37	61	104	44	19	21	33	21	14	14	21	21	36
	1977	52	8	20	44	80	10	16	21	9	18	17	104	250
	1978	28	34	33	31	8	18	28	19	19	8	11	81	50
	1979	73	26	524	65	15	27	30	19	11	17	21	14	162
	1980	59	288	61	22	10	18	18	13	10	30	19	48	161
	1981	34	17	26	36	50	17	25	11	11	21	29	75	93
	1982	92	235	401	73	56	25	26	34	16	12	147	57	37
	1983	48	182	60	28	8	21	28	17	10	73	62	25	70
	1984	47	71	44	19	15	39	43	19	37	11	106	58	101
	1985	48	19	222	20	19	21	26	31	18	32	87	87	14
	1986	59	52	69	151	93	38	37	46	21	54	35	92	18
	1987	54	62	254	114	30	20	23	25	31	16	24	28	44
	1988	33	47	54	15	16	14	24	17	12	34	35	89	36
	1989	100	308	85	272	11	34	32	36	18	9	115	223	58
	1990	78	64	127	92	16	15	17	24	13	11	52	400	119
	1991	38	63	45	23	15	29	40	27	38	9	46	68	59
	1992	59	42	149	26	35	43	37	18	13	117	62	51	126
	1993	36	58	103	47	10	25	27	20	9	16	30	73	23
	1994	96	113	485	123	13	20	25	18	16	10	25	318	67
	1995	95	44	189	272	23	31	36	24	19	7	9	305	192
	1996	103	164	111	198	74	47	59	31	22	10	89	25	107
	1997	35	56	6	85	14	33	31	21	10	13	106	29	37
	1998	39	168	28	27	13	16	25	24	18	12	48	26	62
	1999	64	152	154	98	34	36	45	34	30	13	39	64	74
	2000	36	175	12	14	17	46	26	19	24	25	38	19	21
	2001	52	17	74	87	13	26	45	29	21	16	71	69	130
	2002	60	117	32	140	109	27	29	30	15	8	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	217798	18147	16919	18496	18218	19211	18604	18834	18522	17148	18204	17409	18086
	1973	2127	66	0	0	0	0	124	318	343	322	339	304	311
	1974	2897	302	297	325	193	308	291	324	238	168	147	152	152
	1975	3964	227	244	279	158	213	225	306	337	442	575	464	494
	1976	4319	473	431	428	480	322	268	361	298	313	299	242	404
	1977	7395	455	457	541	606	671	644	676	662	664	689	664	666
	1978	7940	668	576	668	671	682	640	649	682	670	688	665	681
	1979	8133	665	594	685	674	705	686	711	686	654	698	666	709
	1980	8117	711	662	698	659	677	668	681	688	664	690	641	678
	1981	8319	712	637	710	679	713	699	687	695	694	707	689	697
