WAINWRIGHT AAF      AK - 702615                                                 														
 64 deg    50' N  147 deg    37' W - Elev  137m   LST=GMT+99 hours   *NT=-10    														
 01/77-08/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	1.82	0.89	1.07	1.73	2.25	2.75	2.5	2.32	2.27	2.07	1.58	1.08	0.94
	1977	1.35	0.26	0.15	0.78	1.3	2.12	2.04	2.1	1.72	1.95	1.61	0.62	0.09
	1978	1.54	0.3	1.04	1.41	1.85	2.7	2.59	1.78	1.85	1.64	1.31	0.92	0.89
	1979	1.47	0.21	0.29	1.76	1.9	2.84	2.72	2.11	1.82	1.66	1.1	1.11	0.84
	1980	1.48	0.76	1.37	1.08	2.03	2.68	2.37	1.89	1.82	1.86	1.3	0.28	0.01
	1981	1.46	1.01	0.7	1.83	2.66	1.98	2.37	2.05	1.66	1.44	0.84	0.78	0.28
	1982	1.43	0.84	0.64	1.16	1.87	2.36	1.88	2.3	1.57	2.07	1.16	0.33	0.69
	1983	1.44	0.52	0.45	1.46	1.61	3.05	2.4	2.18	1.68	1.76	1.63	0.47	0.15
	1984	1.27	0.3	0.39	1.12	1.57	2.29	1.58	2.39	1.98	1.35	1.25	0.61	0.28
	1985	1.54	0.5	0.92	1.23	2.05	2.57	2.24	1.88	2.34	2.29	1.11	0.66	0.55
	1986	1.53	0.69	0.83	1.33	1.83	2.34	2.28	2.38	2.29	1.81	1.11	0.21	0.77
	1987	1.41	0.83	0.8	1.04	2.09	2.02	2.61	2.04	1.96	1.28	1.23	0.32	0.44
	1988	1.52	0.43	1.36	2.03	2.42	2.04	1.64	1.89	2.15	1.47	1.49	0.74	0.66
	1989	1.22	0.51	0.46	0.98	0.76	1.88	2.07	1.74	1.47	1.68	1.78	0.67	0.84
	1990	1.24	0.2	0.41	1.09	1.76	1.44	2.15	1.32	1.7	2.19	1.37	0.61	0.63
	1991	1.23	0.85	0.87	1.38	0.9	1.71	1.28	1.25	1.87	1.25	0.98	1.04	1.41
	1992	1.31	0.41	0.3	0.76	1.82	2.63	1.92	1.33	1.98	1.97	0.96	1.03	0.56
	1993	1.42	0.71	0.37	0.75	1.31	2.25	1.15	1.87	1.85	2.19	1.2	2.42	1.8
	1994	2.83	2.04	2.13	2.72	3.02	3.56	3.77	3.3	3.09	2.56	2.42	3.25	1.8
	1995	2.61	1.5	1.81	2.52	2.74	3.29	3.1	3.48	3.15	2.79	2.27	1.93	2.44
	1996	2.9	1.54	2.03	2.85	3.49	3.45	3.32	2.96	3.76	3.84	2.44	2.01	2.16
	1997	3.07	1.88	2.51	2.94	3.38	3.93	4.2	3.23	3.4	2.96	2.69	2.23	2.34
	1998	3.1	1.92	2.27	3.3	3.79	3.74	3.78	3.49	3.3	3.14	2.83	1.89	2.54
	1999	3.21	1.9	1.76	2.92	4.21	4.06	3.37	3.81	2.67	3.65	3.13	2.96	2.85
	2000	3.6	2.78	2.53	3.9	4.56	4.77	3.65	3.67	4.13	3.3	2.42	2.68	2.57
	2001	3.45	3.13	3.05	3.32	4.11	4.49	4.21	3.97	3.53	2.72	3.08	1.82	2.55
	2002	3.86	3.03	2.86	3.73	3.93	4.84	4.21	4.21	3.87	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	20	9	10	20	30	38	29	24	24	22	13	9	9
	1977	12	5	0	8	17	31	18	19	9	12	9	6	0
	1978	11	1	6	12	10	28	24	9	12	11	8	4	4
	1979	13	0	1	14	13	30	28	14	9	26	5	4	15
	1980	16	12	15	7	22	37	30	20	18	18	10	1	0
	1981	17	23	5	25	47	17	28	22	13	13	4	6	2
	1982	14	15	8	9	27	25	16	25	11	20	8	1	5
	1983	16	6	4	21	15	55	27	23	13	15	15	3	1
	1984	13	2	4	6	24	30	10	28	18	15	10	3	3
	1985	19	3	17	16	25	36	24	19	30	33	6	6	6
	1986	16	4	6	14	19	23	22	23	37	21	9	2	6
	1987	14	11	12	5	23	22	35	19	17	8	7	1	3
	1988	15	2	14	31	28	20	9	17	25	11	12	4	5
	1989	11	10	9	14	3	17	17	10	9	16	13	4	6
	1990	12	1	4	9	17	11	20	10	13	36	15	3	5
	1991	12	11	9	25	3	13	11	5	23	9	12	8	19
	1992	14	3	1	5	23	45	24	7	20	19	7	12	7
	1993	15	14	3	6	16	29	7	13	19	35	9	26	9
	1994	32	12	18	27	36	48	63	44	33	22	18	51	8
	1995	25	4	8	23	26	40	36	43	37	29	16	9	26
	1996	35	10	12	40	50	50	38	26	56	62	30	15	13
	1997	36	11	21	32	49	62	79	34	37	30	27	14	18
	1998	39	13	14	54	59	51	60	38	44	32	28	8	31
	1999	42	14	8	26	85	69	36	63	26	43	30	38	38
	2000	51	25	23	60	90	98	47	43	59	32	15	20	32
	2001	43	37	37	38	61	80	62	50	42	20	29	5	22
	2002	64	27	30	56	89	114	61	65	58	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	117185	9845	9143	11292	10601	9978	10122	9824	10228	9551	9893	8251	8457
	1977	4253	190	91	411	405	397	411	395	392	387	383	389	402
	1978	4806	390	359	426	399	408	425	387	435	401	390	380	406
	1979	5152	520	447	426	396	404	405	388	397	365	493	439	472
	1980	5815	491	458	500	492	504	500	502	508	472	497	447	444
	1981	6134	649	514	520	488	513	502	491	516	490	523	456	472
	1982	5875	460	473	527	502	515	489	488	523	491	506	476	425
	1983	6172	663	517	537	486	509	508	509	528	493	508	456	458
	1984	5719	488	473	522	507	485	477	470	490	459	474	441	433
	1985	5368	609	553	483	464	471	471	454	484	384	372	310	313
	1986	4414	338	323	367	420	384	412	384	363	351	369	299	404
	1987	4946	492	351	395	528	375	387	379	393	494	430	317	405
	1988	4885	375	523	545	369	350	374	353	384	399	389	340	484
	1989	5231	541	334	585	468	397	378	329	462	419	513	337	468
	1990	4942	353	460	584	344	379	368	514	441	374	468	361	296
	1991	5059	407	395	388	406	400	391	382	428	490	524	463	385
	1992	4748	433	366	398	379	361	456	533	361	410	394	332	325
	1993	5172	341	369	703	717	447	487	338	407	380	391	305	287
	1994	4198	326	329	430	359	341	368	334	404	359	363	316	269
	1995	4012	327	315	397	365	351	367	314	394	320	319	303	240
	1996	3588	346	309	344	366	358	331	313	294	328	263	166	170
	1997	3340	113	209	313	293	305	282	395	301	318	312	245	254
	1998	3318	218	243	343	327	280	326	289	314	287	273	190	228
	1999	3116	211	207	310	338	274	309	328	205	242	303	199	190
