WAINWRIGHT (DEW)    AK - 700300                                                 														
 70 deg    37' N  159 deg    51' W - Elev   27m   LST=GMT+99 hours   *NT=-11    														
 01/73-12/81 01/87-09/89 01/99-09/02                                            									Adjusted to Alaska Timezone (GMT-9)					
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.05	5.48	5.03	5.29	5.3	5.36	4.69	5.06	5.2	4.68	4.93	4.59	4.78
	1973	4.25	3.81	5.08	3.46	3.32	4.43	4.73	4.09	4.95	3.17	3.21	5.88	5.27
	1974	4.05	4.56	2.17	3.73	5.68	4.25	4.36	3.52	2.98	4.78	5.9	3.86	3.04
	1975	4.42	5.39	5	4.51	4.21	4.65	3.8	4.48	4.35	4.59	4.52	3.9	3.45
	1976	4.27	2.93	3.78	4.56	4.44	5.98	3.89	4.42	3.05	4.6	5.31	3.89	4.38
	1977	5.33	8.73	6.05	4.59	4.19	5.77	3.83	6.69	3.93	5.08	6.58	3.37	5.17
	1978	4.57	5.04	4.49	3.69	5.19	6.14	4.5	4.25	3.83	4	4.39	4.51	4.86
	1979	4.55	4.52	2.74	5.01	5.69	5.02	4.61	3.25	4.2	3.59	6.12	5.44	4.57
	1980	5.45	4.02	5.11	6.21	8	7.68	4.12	5.08	5.08	4.7	4.29	7.57	3.65
	1981	4.67	5.66	5.33	6.87	4.15	4.97	4.59	4.24	3.74	3.68	4.22	4.4	4.17
	1987	4.8	4.38	4.19	3.86	4.24	5.15	5.44	4.65	4.83	4.75	3.92	6.98	4.77
	1988	5.28	5.99	5.05	4.96	5.18	7.68	4.88	4.05	4.81	4.27	5.89	7.79	5.02
	1989	3.87	4.32	7.14	3.99	5.05	2.57	2.47	2.53	3.19	4.2	-1	-1	-1
	1999	4.81	4.33	3.99	4.09	5.62	5.33	4.85	5.7	5.25	4.57	5.18	3.35	4.55
	2000	5.24	4.26	4.74	7.33	4.9	4.29	4.29	5.56	6.23	5.23	5.35	4.14	7.34
	2001	5.49	8.29	6.17	6.04	5.44	4.45	4.8	5.2	5.98	4.9	4.44	5.4	4.57
	2002	5.63	5.26	5.57	4.69	5.91	6.57	5.44	5.29	5.58	6.43	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	204	321	261	265	238	215	117	143	174	128	182	201	226
	1973	175	178	284	123	92	156	148	124	209	45	71	416	278
	1974	155	259	23	104	266	138	115	71	55	175	312	194	133
	1975	187	380	226	263	244	204	83	110	119	131	154	121	133
	1976	172	103	134	537	162	272	98	109	52	127	194	113	136
	1977	275	895	418	259	104	275	68	284	80	164	426	91	232
	1978	178	292	138	79	253	304	145	90	86	118	162	154	326
	1979	184	235	145	224	278	176	138	44	100	78	316	247	243
	1980	252	176	261	283	616	398	122	137	143	160	143	480	113
	1981	214	340	403	554	136	203	158	105	65	60	178	249	121
	1987	209	216	176	139	165	183	175	154	129	161	158	615	173
	1988	253	352	313	251	278	463	163	103	170	119	202	610	263
	1989	172	132	690	201	231	48	36	42	64	167	-1	-1	-1
	1999	156	132	114	136	246	170	120	170	153	117	223	74	192
	2000	207	133	166	450	181	89	87	180	274	160	182	197	549
	2001	226	689	411	301	224	95	102	138	191	109	102	191	149
	2002	235	228	282	144	299	372	142	138	219	187	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	43871	3359	3402	3924	4111	4528	4209	3964	4112	3367	3098	3097	2700
	1973	1252	115	98	120	105	111	96	83	98	108	110	97	111
	1974	1336	102	92	106	102	105	106	103	115	108	117	126	154
	1975	1413	128	120	153	134	102	105	116	115	105	116	103	116
	1976	1345	116	108	118	115	118	113	110	114	112	105	98	118
	1977	1285	106	98	114	106	108	94	103	114	106	117	108	111
	1978	1326	104	103	115	104	111	110	111	111	108	119	114	116
	1979	1310	116	102	104	94	118	112	113	108	112	108	110	113
	1980	1356	106	107	115	109	117	111	109	111	116	117	114	124
	1981	1380	114	106	122	112	116	114	119	120	111	116	113	117
	1987	1449	108	94	101	101	108	99	130	143	142	139	141	143
	1988	1298	137	135	140	127	147	142	154	143	123	20	26	4
	1989	848	75	89	94	104	106	102	97	104	77	0	0	0
	1999	7247	171	413	540	703	739	689	730	726	635	540	693	668
	2000	7708	690	549	700	692	676	688	697	702	708	688	585	333
	2001	7688	648	653	671	629	704	687	485	711	673	686	669	472
	2002	5630	523	535	611	774	1042	841	704	577	23	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	1193	87	91	106	118	135	119	111	115	85	84	83	59
	1	1193	84	88	104	115	138	134	109	110	86	82	83	60
	2	1186	84	90	103	114	132	126	113	110	84	80	81	69
	3	4796	387	381	418	415	451	424	414	434	376	368	365	363
	4	1159	81	88	99	117	131	123	105	111	84	81	78	61
	5	1207	80	89	101	117	133	127	126	114	91	90	77	62
	6	1490	91	94	103	151	171	157	147	170	140	111	90	65
	7	1338	101	119	128	123	139	124	108	110	91	91	115	89
	8	1243	88	92	115	126	139	123	115	122	85	89	81	68
	9	4819	395	383	440	434	449	429	427	435	392	354	341	340
	10	1193	78	93	106	114	137	118	112	117	86	81	88	63
	11	1180	80	93	106	123	134	116	110	118	85	75	78	62
