Whitestone, Alaska			
Latitude: 64 deg 9.6 N, Longitude: 145 deg 52.9 W, Elevation: 310 meters			
Source: Alaska Energy Authority (www.akenergyauthority.org/programwind.html)			
Wind speed measurements are in meters per second.  Direction is degrees from True North.			
			
Timestamp	Spd (30m height)	Spd (20m height)	Dir
1/1 0:00	2.01	1.56	251
1/1 1:00	2.24	1.74	261
1/1 2:00	3.16	2.52	210
1/1 3:00	1.55	1.27	61
1/1 4:00	1.00	0.84	50
1/1 5:00	1.47	1.25	49
1/1 6:00	1.67	1.43	27
1/1 7:00	1.75	1.49	19
1/1 8:00	5.42	4.63	37
1/1 9:00	5.96	5.14	164
1/1 10:00	1.66	1.44	233
1/1 11:00	2.36	2.05	244
1/1 12:00	2.07	1.78	27
1/1 13:00	2.46	2.10	78
1/1 14:00	1.95	1.65	68
1/1 15:00	1.74	1.44	48
1/1 16:00	1.88	1.52	41
1/1 17:00	3.23	2.56	51
1/1 18:00	7.35	5.75	42
1/1 19:00	3.59	2.81	334
1/1 20:00	1.52	1.19	306
1/1 21:00	2.02	1.55	274
1/1 22:00	2.28	1.77	266
1/1 23:00	5.07	3.92	244
1/2 0:00	7.99	6.19	242
1/2 1:00	7.20	5.60	299
1/2 2:00	1.52	1.20	336
1/2 3:00	1.37	1.11	284
1/2 4:00	2.71	2.27	323
1/2 5:00	1.44	1.23	300
1/2 6:00	1.50	1.28	305
1/2 7:00	2.19	1.87	344
1/2 8:00	3.60	3.08	4
1/2 9:00	1.97	1.70	349
1/2 10:00	1.46	1.27	274
1/2 11:00	1.55	1.34	290
1/2 12:00	2.06	1.78	273
1/2 13:00	2.94	2.51	287
1/2 14:00	5.48	4.63	305
1/2 15:00	5.12	4.24	349
1/2 16:00	1.22	0.98	252
1/2 17:00	1.99	1.58	303
1/2 18:00	1.83	1.43	269
1/2 19:00	1.11	0.87	263
1/2 20:00	1.40	1.09	257
1/2 21:00	1.72	1.32	19
1/2 22:00	1.21	0.93	28
1/2 23:00	3.76	2.91	36
1/3 0:00	3.83	2.97	11
1/3 1:00	5.94	4.63	358
1/3 2:00	3.25	2.59	4
1/3 3:00	1.85	1.51	29
1/3 4:00	1.29	1.09	42
1/3 5:00	1.88	1.60	335
1/3 6:00	1.85	1.58	320
1/3 7:00	1.21	1.03	216
1/3 8:00	1.78	1.52	31
1/3 9:00	4.85	4.19	336
1/3 10:00	1.54	1.33	297
1/3 11:00	5.22	4.52	296
1/3 12:00	5.70	4.92	329
1/3 13:00	10.01	8.57	7
1/3 14:00	6.74	5.69	8
1/3 15:00	7.41	6.14	345
1/3 16:00	6.30	5.08	21
1/3 17:00	3.38	2.68	60
1/3 18:00	2.94	2.30	29
1/3 19:00	1.58	1.24	37
1/3 20:00	3.54	2.77	48
1/3 21:00	1.60	1.24	41
1/3 22:00	1.32	1.02	33
1/3 23:00	5.00	3.87	352
1/4 0:00	4.57	3.55	101
1/4 1:00	3.84	2.99	145
1/4 2:00	3.85	3.06	105
1/4 3:00	4.40	3.59	3
1/4 4:00	7.17	6.01	1
1/4 5:00	7.71	6.56	17
1/4 6:00	7.18	6.13	16
1/4 7:00	4.84	4.12	9
1/4 8:00	2.71	2.32	11
1/4 9:00	3.85	3.32	357
1/4 10:00	5.27	4.56	343
1/4 11:00	2.52	2.19	340
1/4 12:00	2.34	2.01	350
1/4 13:00	2.60	2.22	344
1/4 14:00	2.16	1.82	356
1/4 15:00	3.02	2.51	1
1/4 16:00	1.53	1.23	344
1/4 17:00	2.23	1.76	324
1/4 18:00	5.92	4.63	346
