WHITTIER            AK - 702757                                                 														
 60 deg    46' N  148 deg    41' W - Elev    9m   LST=GMT+99 hours   *NT=-10    														
 05/75-08/79 06/87-09/02                                                        								Adjusted to Alaska Timezone (GMT-9)						
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.01	4.91	4.84	4.58	3.76	3.43	3.04	2.63	3.11	3.63	4.52	4.9	4.89
	1975	4.61	-1	-1	-1	-1	2.77	2.83	3.22	5.14	3.92	4.64	5.1	8.09
	1976	3.93	3.85	5.11	4.01	4.18	4.06	2.34	5.06	1.2	1.7	0	4.6	4.77
	1977	5.49	2.57	7.7	-1	10.2	4.93	2.78	3.97	3.53	3.77	3.36	6.13	8.82
	1978	3.25	2.63	3.8	3.85	0	-1	-1	-1	3.21	0	4.88	2.61	5.26
	1979	3.48	3.58	7.7	4.12	7.7	-1	3.73	2.52	1	-1	-1	-1	-1
	1987	3.2	-1	-1	-1	-1	-1	3.78	1.81	1.51	1.65	4.56	3.97	5.32
	1988	3.65	3.42	4.27	4.03	4.84	2.72	2.75	2.03	2.96	2.92	3.68	5.42	5.46
	1989	4.31	8.67	3.98	6.93	3.51	4.09	3.48	3.18	2.96	2.98	5.26	4.95	4.15
	1990	4.6	5.12	8.13	4.47	3.2	2.41	2.83	2.75	3.38	4.22	5.28	8.69	5.03
	1991	3.68	5.16	3.84	4.85	3.52	3.75	2.72	2.17	2.91	3.16	3.91	3.47	4.61
	1992	4.29	4.03	5.96	5.03	4.82	3.77	2.31	1.96	3.02	5.15	4.43	5.09	5.83
	1993	3.73	4.96	4.94	3.62	3.03	2.91	2.75	3.1	3.11	3.52	4.01	5.14	3.78
	1994	4.33	3.54	6.04	5.24	3.46	4.04	3.08	2.78	3.46	3.95	5.13	7.33	4.58
	1995	4	4.75	4.89	6.02	3.88	3.44	2.86	2.52	3.13	3.66	3.98	5.27	3.58
	1996	4.27	4.77	4.75	4.67	3.04	4.47	3.94	3.45	3.39	4.18	6	3.22	4.81
	1997	4.15	4.87	3.62	4.68	3.65	4.01	3.74	2.55	3.55	3.93	5.1	4.48	4.96
	1998	3.84	4.08	3.26	3.97	4.17	3.71	3.25	3.32	3.45	3.36	4.13	4.58	4.78
	1999	4.57	6.07	7.33	5.01	4.35	4.07	3.13	3.45	2.98	4.19	4.02	4.81	5.63
	2000	4.1	6.72	3.69	3.51	3.77	4.18	3.19	3.07	4.41	4.33	4.06	3.9	4.28
	2001	3.88	5.25	4.08	3.59	3.59	2.96	3.17	2.42	3.54	3.39	4.92	3.27	6.02
	2002	2.79	3.7	3.47	3.93	3.31	1.98	2.09	1.71	2.13	0.94	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	161	288	284	206	103	76	56	45	75	100	180	275	261
	1975	429	-1	-1	-1	-1	39	90	92	356	182	260	614	1374
