WRANGELL            AK - 703870                                                 														
 56 deg    29' N  132 deg    22' W - Elev   13m   LST=GMT+99 hours   *NT= -9    														
 01/73-09/02                                                                    														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.86	3.33	3.34	3.18	2.94	2.75	2.36	1.91	2	2.35	3.17	3.48	3.58
	1973	2.7	3.41	3.05	2.44	2.91	2.83	2.42	1.95	2.05	1.83	3.34	3.52	2.93
	1974	2.35	3.1	2.95	2.28	1.89	2.22	2.04	1.57	1.18	1.61	3.21	2.89	3.21
	1975	2.59	3.3	3.66	2.77	2.45	2.56	1.91	1.8	1.76	1.82	2.66	3	3.4
	1976	2.68	3.46	3.48	3.32	2.78	2.92	1.5	2.17	1.65	2.7	2.6	3.17	3.18
	1977	2.93	2.63	3.65	3.21	2.96	2.57	2.27	1.85	1.62	2	3.88	3.3	3.13
	1978	2.58	2.56	2.99	2.85	2.44	2.58	2.08	1.16	1.65	2.24	3.15	3.44	3.85
	1979	2.54	2.95	4.26	2.84	1.88	2.31	1.77	1.74	1.05	2.12	2.71	3.25	3.51
	1980	2.93	3.54	3.38	3.25	4.03	2.55	1.71	1.61	1.88	2.04	3.61	3.93	3.87
	1981	2.99	4.15	3.28	3.3	3.3	2.34	2.39	2.04	2.08	2.62	2.57	3.58	3.51
	1982	2.48	3.41	3.3	2.4	3.04	2.84	1.6	1.66	1.61	1.39	2.82	2.87	2.76
	1983	2.41	3.27	2.79	2.74	2.24	2.2	1.68	1.39	1.83	2.09	2.47	2.89	2.66
	1984	2.81	2.95	3.23	3.21	3.08	2.52	2.27	1.42	1.84	2.08	3.19	3.42	3.97
	1985	3.44	3.88	3.95	3.7	3.85	3.4	3.38	2.68	2.63	2.74	3.35	4.37	3.43
	1986	3.41	3.69	4.36	3.69	4.01	3.48	3.27	2.53	2.62	2.43	3.08	4.02	3.36
	1987	3.34	3.46	3.42	3.36	3.92	3.44	3.14	2.61	2.45	2.83	3.57	3.79	3.88
	1988	3.28	3.67	3.89	3.69	3.4	3.11	3.33	2.78	2.62	2.77	2.99	3.67	3.54
	1989	3.26	4.2	3.95	3.99	3.04	3.11	3.13	2.49	2.19	2.58	3.33	4.19	3.79
	1990	3.38	3.9	4.18	3.49	3.41	3.05	2.78	2.74	2.68	2.81	3.63	3.97	3.8
	1991	3.37	3.54	3.67	3.54	3.51	3.45	3.34	2.61	3.09	2.67	3.47	3.91	3.86
	1992	3.57	4.3	4.56	3.4	3.78	3.55	3.14	2.9	2.89	3.42	3.2	3.45	4.4
	1993	2.5	4.21	3.03	2.92	2.33	2.3	2.15	2.05	1.98	2.01	2.42	3.07	2.24
	1994	1.74	1.29	1.79	2.18	1.95	2.01	1.6	1.19	1.23	1.56	2.08	2.13	1.95
	1995	1.7	1.51	1.62	2.01	2.1	1.66	1.79	1.53	1.22	1.29	1.92	1.75	2
	1996	2.57	2.06	1.85	1.64	2.54	2.19	2.51	1.73	1.75	2.47	2.96	4.12	4.82
	1997	2.92	3.04	3.04	4.11	3.04	2.46	2.14	1.69	1.66	2.55	3.81	2.82	4.72
	1998	3.06	3.81	4.19	3.42	3.05	2.35	2.45	1.93	2.24	2.4	3.55	3.22	4.43
	1999	3.3	3.78	4.41	3.61	3.27	3.49	2.37	1.82	2.2	2.59	3.98	4.45	3.9
	2000	3.14	4.64	2.96	4.17	3.72	2.76	2.02	1.9	2.04	2.39	3.61	4.01	3.55
	2001	3.87	4.12	3.33	3.63	3.12	4.03	3.2	2.86	3.06	4.15	4.5	5.23	4.76
	2002	2.92	4.1	3.83	4.11	2.9	3.1	2.86	1.31	2.27	1.86	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	44	61	61	54	41	32	21	14	19	29	52	68	74
	1973	30	51	42	20	33	39	23	11	13	12	48	43	34
	1974	25	42	30	21	12	15	14	7	4	10	38	60	44
	1975	28	41	38	28	23	20	12	20	10	13	36	40	60
	1976	38	55	59	54	34	39	9	19	14	79	36	50	46
	1977	44	24	54	45	33	23	20	12	7	15	80	67	59
	1978	35	37	48	41	30	27	20	6	14	26	41	58	71
	1979	37	34	82	41	19	26	13	15	4	19	49	76	72
